#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Fri Nov 28 17:59:17 2025
# Process ID: 2937681
# Current directory: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output
# Command line: xsim -mode tcl -source {xsim.dir/tb/xsim_script.tcl}
# Log file: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output/xsim.log
# Journal file: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output/xsim.jou
# Running On: eceubuntu2, OS: Linux, CPU Frequency: 2695.572 MHz, CPU Physical cores: 10, Host memory: 99797 MB
#-----------------------------------------------------------
source xsim.dir/tb/xsim_script.tcl
# xsim {tb} -autoloadwcfg -tclbatch {/home/b57zheng/ECE320_LAB/b57zheng-pd6/build/scripts/xsim.tcl}
Time resolution is 1 ps
source /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/scripts/xsim.tcl
## run 2000ns
Simulation started.
Final transfer at 01000590
[W] 010002c4 0 00 00000000
[W] 010002c4 1 01 0000000f
[W] 010002c8 0 00 00000000
[W] 010002c8 1 02 0000000b
[W] 010002cc 0 00 00000000
[W] 010002cc 1 00 00000000
[W] 010002d0 0 00 00000000
[W] 010002d0 1 00 00000000
[W] 010002d4 0 00 00000000
[W] 010002d4 1 1e 0000001a
[W] 010002d8 0 00 00000000
[W] 010002d8 1 04 00000002
[W] 010002dc 0 00 00000000
[W] 010002dc 1 05 00000002
[W] 010002e0 0 00 00000000
[W] 010002e0 0 00 010002c4
[W] 010002e4 0 00 00000000
[W] 010002e8 1 00 00000000
[W] 010002e8 0 00 00000000
[W] 010002e8 1 03 00000019
[W] 010002ec 0 00 00000000
[W] 010002ec 0 00 010004e0
[W] 010002f0 0 00 00000000
[W] 010002f0 1 04 00000000
[W] 010002f4 0 00 00000000
[W] 010002f4 1 01 0000000d
[W] 010002f8 0 00 00000000
[W] 010002f8 1 00 00000000
[W] 010002fc 0 00 00000000
[W] 010002fc 1 02 0000000b
[W] 01000300 0 00 00000000
[W] 01000300 1 1e 00000018
[W] 01000304 0 00 00000000
[W] 01000304 1 04 00000001
[W] 01000308 0 00 00000000
[W] 01000308 1 05 00000002
[W] 0100030c 0 00 00000000
[W] 0100030c 0 00 010002f4
[W] 01000310 0 00 00000000
[W] 01000314 1 00 00000000
[W] 01000314 0 00 00000000
[W] 01000314 1 03 0000001a
[W] 01000318 0 00 00000000
[W] 01000318 0 00 010004e0
[W] 0100031c 0 00 00000000
[W] 01000320 1 00 00000000
[W] 01000320 0 00 00000000
[W] 01000320 1 01 0000000e
[W] 01000324 0 00 00000000
[W] 01000324 1 00 00000000
[W] 01000328 0 00 00000000
[W] 01000328 1 02 0000000b
[W] 0100032c 0 00 00000000
[W] 0100032c 1 00 00000000
[W] 01000330 0 00 00000000
[W] 01000330 1 1e 00000019
[W] 01000334 0 00 00000000
[W] 01000334 1 04 00000002
[W] 01000338 0 00 00000000
[W] 01000338 1 05 00000002
[W] 0100033c 0 00 00000000
[W] 0100033c 0 00 01000320
[W] 01000340 0 00 00000000
[W] 01000344 1 00 00000000
[W] 01000344 0 00 00000000
[W] 01000344 1 03 0000001b
[W] 01000348 0 00 00000000
[W] 01000348 0 00 010004e0
[W] 0100034c 0 00 00000000
[W] 01000350 1 00 00000000
[W] 01000350 0 00 00000000
[W] 01000350 1 01 0000000f
[W] 01000354 0 00 00000000
[W] 01000354 1 00 00000000
[W] 01000358 0 00 00000000
[W] 01000358 1 00 00000000
[W] 0100035c 0 00 00000000
[W] 0100035c 1 02 0000000b
[W] 01000360 0 00 00000000
[W] 01000360 1 1e 0000001a
[W] 01000364 0 00 00000000
[W] 01000364 1 04 00000003
[W] 01000368 0 00 00000000
[W] 01000368 1 05 00000002
[W] 0100036c 0 00 00000000
[W] 0100036c 0 00 01000350
[W] 01000370 0 00 00000000
[W] 01000370 1 1d 0000001a
[W] 01000374 0 00 00000000
[W] 01000374 1 03 0000001c
[W] 01000378 0 00 00000000
[W] 01000378 0 00 010004e0
[W] 0100037c 0 00 00000000
[W] 0100037c 1 04 00000000
[W] 01000380 0 00 00000000
[W] 01000380 1 02 0000000b
[W] 01000384 0 00 00000000
